CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,HasCrCard,IsActiveMember,Geography,Gender,y_true,y_pred,p_churn
778,45,1,162150.42,2,174531.27,1,0,Germany,Female,0,1,0.5714698764836321
733,48,7,85915.52,1,23860.5,1,1,Germany,Male,0,1,0.5612629500698434
584,47,7,130538.77,1,92915.84,1,0,Germany,Male,0,1,0.8882179113230213
599,49,2,0.0,2,111190.53,1,0,Spain,Female,0,1,0.5747820272086548
697,51,1,147910.3,1,53581.14,1,1,Germany,Male,0,1,0.7275272558956923
597,28,2,0.0,3,78707.97,1,1,France,Male,0,1,0.5325565339670592
441,60,1,140614.15,1,174381.23,0,1,France,Male,0,1,0.5109523153248002
581,24,10,159203.71,1,102517.83,1,1,Spain,Female,1,0,0.22377107719044237
750,42,8,151836.36,2,68695.38,1,0,Germany,Male,0,1,0.5468086141984893
698,55,8,155059.1,2,144584.29,1,1,Germany,Male,0,1,0.5082378354314394
848,40,5,148495.64,1,158853.98,0,0,Germany,Female,0,1,0.5249007716055458
598,35,8,0.0,3,88658.73,0,1,Spain,Female,0,1,0.5792496736391309
764,28,10,124023.18,1,166188.28,1,0,Germany,Male,0,1,0.5054562283943161
667,32,0,103846.65,1,20560.69,1,0,Germany,Male,0,1,0.5508285601802937
580,55,6,104305.74,1,175750.21,0,1,France,Male,0,1,0.5811333329217673
702,40,1,103549.24,1,9712.52,0,0,France,Female,1,0,0.4227952852541338
752,53,8,114233.18,1,51587.04,1,1,France,Female,0,1,0.5755307702585324
785,33,6,127211.45,1,191961.83,0,0,Germany,Female,0,1,0.5928382729575418
684,44,2,133776.86,2,49865.04,0,1,Germany,Female,0,1,0.5366943337952867
543,42,7,0.0,1,56650.47,1,1,France,Male,0,1,0.5014529048597776
593,46,2,76597.79,1,54453.72,1,1,Spain,Female,0,1,0.5684762218183775
644,35,5,161591.11,3,63795.62,1,1,Germany,Male,0,1,0.804508345291969
587,35,5,121863.61,1,23481.69,1,1,Germany,Male,1,0,0.43036616926942844
608,47,6,0.0,1,126012.57,1,1,France,Female,0,1,0.6455085342227685
589,48,5,126111.61,1,133961.19,0,1,Germany,Male,0,1,0.7688544504310146
671,45,2,106376.85,1,158264.62,0,1,France,Male,0,1,0.5217188989847987
517,46,4,0.0,1,22372.78,1,0,Spain,Male,0,1,0.7294358381738649
581,26,3,105099.45,1,184520.0,1,1,Germany,Female,1,0,0.4574632955896823
707,53,6,109663.47,1,52110.45,1,1,Spain,Female,0,1,0.5130652831509287
645,48,7,90612.34,1,149139.13,1,1,France,Female,0,1,0.6017125894328177
727,31,0,0.0,1,121751.04,1,0,Spain,Female,1,0,0.35925818955117517
484,50,2,90408.16,2,48170.57,0,0,France,Female,0,1,0.6723648972992032
548,33,0,101084.36,1,42749.85,1,0,Germany,Female,0,1,0.6153502335565403
668,42,3,150461.07,1,108139.23,1,0,France,Male,0,1,0.6325748265558612
584,36,4,109646.83,1,70240.79,1,1,Germany,Female,0,1,0.5516384385652057
497,55,7,131778.66,1,9972.64,1,1,Germany,Female,0,1,0.7874573615864631
740,56,4,99097.33,1,85016.64,1,1,Spain,Female,1,0,0.49419133971433477
477,57,9,114023.64,2,71167.17,1,1,France,Female,1,0,0.48362552347305193
616,31,3,136789.14,1,59346.4,1,0,France,Female,1,0,0.2921705150064444
634,43,3,212696.32,1,115268.86,1,0,Germany,Male,0,1,0.6202080703205389
420,34,1,135549.9,1,149471.13,0,0,Germany,Female,1,0,0.49084927912038684
552,55,3,0.0,1,40333.94,1,1,Spain,Male,0,1,0.5683812158012898
712,48,8,0.0,2,183235.33,1,0,Spain,Female,0,1,0.5080765252710447
622,34,7,98675.74,1,138906.85,1,0,Germany,Female,1,0,0.4926303094591516
644,44,8,106022.73,2,148727.42,0,0,Germany,Female,0,1,0.6677004203907978
613,43,4,140681.68,1,20134.07,0,1,Germany,Female,0,1,0.7808335872212535
593,32,9,134096.53,2,53931.05,1,0,Germany,Female,1,0,0.3480389493528654
560,50,3,0.0,2,84531.79,1,0,France,Male,0,1,0.5415138543295626
